marketcap,maxsupply,name,position,price,siglas,supplycirculation,totalsupply,volume24
,,,,,,,,
"$67,981,427,330 USD",, Ethereum ,Rank 2,$598.58,,"113,571,401 ETH","113,571,401 ETH","$21,790,031,642 USD"
"$31,149,755,382 USD","100,000,000,000 XRP", XRP ,Rank 3,$0.686901,,"45,348,221,180 XRP","99,990,853,796 XRP","$26,707,839,468 USD"
"$18,671,198,551 USD",, Tether ,Rank 4,$1.00,,"18,654,483,312 USDT","19,233,536,999 USDT","$91,269,632,364 USD"
"$356,203,978,163 USD","21,000,000 BTC", Bitcoin ,Rank 1,"$19,198.52",,"18,553,725 BTC","18,553,725 BTC","$48,563,221,676 USD"
,,,,,,,,
"$18,670,402,444 USD",, Tether ,Rank 4,$1.00,,"18,654,483,312 USDT","19,233,536,999 USDT","$91,272,967,720 USD"
"$67,972,488,680 USD",, Ethereum ,Rank 2,$598.50,,"113,571,401 ETH","113,571,401 ETH","$21,779,821,005 USD"
"$356,203,978,163 USD","21,000,000 BTC", Bitcoin ,Rank 1,"$19,198.52",,"18,553,725 BTC","18,553,725 BTC","$48,563,221,676 USD"
"$31,138,345,879 USD","100,000,000,000 XRP", XRP ,Rank 3,$0.686650,,"45,348,221,180 XRP","99,990,853,796 XRP","$26,721,858,190 USD"
"$4,892,245,912 USD",, Polkadot ,Rank 9,$5.55,,"880,798,975 DOT","1,015,604,388 DOT","$948,380,075 USD"
"$4,822,219,970 USD","176,406,561 BNB", Binance Coin ,Rank 10,$33.39,,"144,406,561 BNB","176,406,561 BNB","$649,159,528 USD"
"$5,334,582,504 USD","45,000,000,000 ADA", Cardano ,Rank 8,$0.171461,,"31,112,484,646 ADA","45,000,000,000 ADA","$1,905,205,248 USD"
,,,,,,,,
"$5,865,516,298 USD","84,000,000 LTC", Litecoin ,Rank 7,$88.94,,"65,947,252 LTC","65,947,252 LTC","$6,223,621,730 USD"
"$4,820,504,791 USD","176,406,561 BNB", Binance Coin ,Rank 10,$33.38,,"144,406,561 BNB","176,406,561 BNB","$648,181,177 USD"
"$5,341,467,299 USD","45,000,000,000 ADA", Cardano ,Rank 8,$0.171682,,"31,112,484,646 ADA","45,000,000,000 ADA","$1,899,926,165 USD"
"$4,891,370,754 USD",, Polkadot ,Rank 9,$5.55,,"880,798,975 DOT","1,015,604,388 DOT","$948,713,370 USD"
"$6,088,727,936 USD",, Chainlink ,Rank 6,$15.47,,"393,509,556 LINK","1,000,000,000 LINK","$1,871,529,339 USD"
"$5,857,361,889 USD","84,000,000 LTC", Litecoin ,Rank 7,$88.82,,"65,947,252 LTC","65,947,252 LTC","$6,217,224,156 USD"
